SalePrice,LotArea,Neighborhood,BldgType,OverallQual,OverallCond,YearBuilt,CentralAir,GrLivArea,FullBath,BedroomAbvGr,Fireplaces,GarageType,YrSold
145000,10859,CollgCr,1Fam,5,5,1994,Y,1097,1,3,0,Attchd,2009
153000,8532,NAmes,1Fam,5,6,1954,Y,1297,1,3,1,Attchd,2009
109000,7922,NAmes,1Fam,5,7,1953,Y,1057,1,3,0,Detchd,2010
82000,6040,Edwards,Duplex,4,5,1955,N,1152,2,2,0,,2008
160000,8658,NAmes,1Fam,6,5,1965,Y,1324,2,3,1,Attchd,2006
170000,16905,Timber,1Fam,5,6,1959,Y,1328,1,2,2,Attchd,2007
144000,9180,SawyerW,1Fam,5,7,1983,Y,884,1,2,0,Attchd,2007
130250,9200,CollgCr,1Fam,5,6,1975,Y,938,1,3,0,Detchd,2008
141000,7945,NAmes,1Fam,5,6,1959,Y,1150,1,3,0,Attchd,2006
319900,7658,NridgHt,TwnhsE,9,5,2005,Y,1752,2,2,1,Attchd,2010
239686,12822,Mitchel,1Fam,7,5,2003,Y,2149,1,1,1,Attchd,2009
249700,11096,Somerst,1Fam,8,5,2006,Y,1656,2,3,0,Attchd,2007
113000,4456,OldTown,2fmCon,4,5,1920,Y,1452,2,2,0,,2009
127000,7742,Sawyer,1Fam,5,7,1966,Y,955,1,3,0,Attchd,2007
177000,13869,Gilbert,1Fam,6,6,1997,Y,1470,2,3,0,Attchd,2007
114500,6240,BrkSide,1Fam,6,6,1934,Y,1176,1,3,1,Detchd,2006
110000,8472,IDOTRR,Duplex,5,5,1963,N,816,1,2,0,CarPort,2010
385000,50271,Veenker,1Fam,9,5,1981,Y,1842,0,0,1,Attchd,2006
130000,7134,NAmes,1Fam,5,5,1955,Y,1360,1,3,1,Detchd,2007
180500,10175,NAmes,1Fam,6,5,1964,Y,1425,2,3,1,Attchd,2008
172500,2645,Somerst,Twnhs,8,5,1999,Y,1739,2,3,0,Attchd,2009
196500,11645,CollgCr,1Fam,7,5,2004,Y,1720,2,3,0,Attchd,2006
438780,13682,StoneBr,1Fam,10,5,2006,Y,2945,3,3,1,BuiltIn,2006
124900,7200,CollgCr,1Fam,5,7,1972,Y,780,1,2,0,Detchd,2008
158000,13072,SawyerW,1Fam,6,5,2004,Y,1158,1,3,0,Detchd,2006
101000,7200,IDOTRR,1Fam,5,7,1920,N,1111,1,3,0,Detchd,2007
202500,6442,NridgHt,TwnhsE,8,5,2006,Y,1370,2,2,1,Attchd,2007
140000,10300,OldTown,1Fam,7,6,1921,Y,1710,2,3,0,Detchd,2010
219500,9375,CollgCr,1Fam,7,5,1997,Y,2034,2,3,0,Attchd,2009
317000,9591,NridgHt,1Fam,8,5,2004,Y,2473,2,4,1,BuiltIn,2007
180000,19900,NAmes,1Fam,7,5,1970,Y,2207,2,3,1,Attchd,2010
226000,10665,CollgCr,1Fam,7,5,2003,Y,1479,2,3,0,Attchd,2007
80000,4608,OldTown,1Fam,4,6,1945,Y,747,1,2,0,Attchd,2010
225000,15593,ClearCr,1Fam,7,4,1953,Y,2287,2,3,1,Attchd,2006
244000,13651,NAmes,1Fam,7,6,1973,Y,2223,2,3,2,Attchd,2007
129500,7599,Mitchel,1Fam,4,6,1982,Y,845,1,2,0,Detchd,2007
185000,10141,Gilbert,1Fam,7,5,1998,Y,1718,2,3,1,Attchd,2009
144900,10200,NAmes,1Fam,5,7,1954,Y,1086,1,3,0,Attchd,2010
107400,5790,OldTown,1Fam,3,6,1915,N,1605,2,3,0,Detchd,2010
91000,1596,MeadowV,Twnhs,4,5,1973,Y,988,1,2,0,BuiltIn,2009
135750,8475,NAmes,1Fam,4,7,1956,Y,952,1,2,0,Detchd,2008
127000,8635,BrkSide,1Fam,5,5,1948,Y,1285,1,2,0,Detchd,2008
136500,10778,Sawyer,Duplex,4,5,1968,N,1768,2,4,0,,2010
110000,10440,OldTown,1Fam,5,6,1910,Y,1230,1,2,0,Detchd,2009
193500,13000,NAmes,1Fam,6,6,1968,Y,2142,2,4,1,Attchd,2009
153500,4500,Mitchel,TwnhsE,6,5,1998,Y,1337,2,2,0,Attchd,2006
245000,10206,Somerst,1Fam,8,5,2007,Y,1563,2,3,1,Attchd,2008
126500,8892,NAmes,1Fam,5,5,1960,Y,1065,1,3,0,Detchd,2007
168500,8530,Gilbert,1Fam,7,5,1995,Y,1474,2,3,1,BuiltIn,2009
260000,16059,NoRidge,1Fam,8,5,1991,Y,2417,2,4,1,Attchd,2006
174000,11911,Gilbert,1Fam,6,5,2005,Y,1560,2,3,1,BuiltIn,2009
164500,3951,Somerst,TwnhsE,6,5,2009,Y,1224,2,2,0,Detchd,2009
85000,8470,IDOTRR,1Fam,3,2,1915,N,1526,1,2,0,,2009
123600,8070,CollgCr,1Fam,4,5,1994,Y,990,1,3,0,,2007
109900,7200,NAmes,1Fam,4,5,1950,Y,1040,1,2,0,Detchd,2006
98600,8500,NAmes,1Fam,5,3,1961,Y,1235,1,2,0,Attchd,2006
163500,13360,Crawfor,1Fam,5,7,1921,Y,964,1,2,0,Detchd,2009
133900,7200,OldTown,2fmCon,6,6,1910,N,2291,2,4,1,Detchd,2007
204750,9337,CollgCr,1Fam,6,5,1997,Y,1786,2,3,0,Attchd,2007
185000,9765,Gilbert,1Fam,6,8,1993,Y,1470,2,3,1,BuiltIn,2009
214000,10264,CollgCr,1Fam,7,5,1999,Y,1588,2,3,0,Attchd,2006
94750,10921,Edwards,1Fam,4,5,1965,Y,960,1,3,0,Attchd,2007
83000,10625,Edwards,1Fam,5,5,1920,N,835,1,2,0,Basment,2010
128950,9320,NAmes,1Fam,4,5,1959,Y,1225,1,3,0,,2010
205000,10603,NWAmes,1Fam,6,7,1977,Y,1610,2,3,2,Attchd,2010
178000,9206,SawyerW,1Fam,6,5,1985,Y,1732,2,3,1,Attchd,2010
118964,7018,SawyerW,Duplex,5,5,1979,Y,1535,2,4,0,Attchd,2009
198900,10402,CollgCr,1Fam,7,5,2009,Y,1226,2,3,0,Attchd,2010
169500,7758,IDOTRR,1Fam,7,4,1931,Y,1818,1,4,2,Detchd,2007
250000,9375,Somerst,1Fam,8,5,2003,Y,1992,2,3,1,Attchd,2008
100000,10800,OldTown,1Fam,4,7,1885,Y,1047,1,2,0,Detchd,2007
115000,6000,OldTown,1Fam,5,5,1948,Y,789,1,2,0,Detchd,2008
115000,8500,IDOTRR,1Fam,5,7,1919,N,1517,2,3,0,,2007
190000,11751,NWAmes,1Fam,6,6,1977,Y,1844,2,3,1,Attchd,2010
136900,9525,Edwards,1Fam,6,4,1954,Y,1855,2,4,0,Attchd,2006
180000,7750,Gilbert,1Fam,7,5,2000,Y,1430,2,3,1,BuiltIn,2010
383970,9965,CollgCr,1Fam,7,5,2007,Y,2696,2,4,1,BuiltIn,2007
217000,21000,Crawfor,1Fam,6,5,1953,Y,2259,2,3,2,Basment,2007
259500,7259,Crawfor,1Fam,6,8,1945,Y,2320,2,3,1,Detchd,2007
176000,3230,Somerst,TwnhsE,6,5,1999,Y,1458,2,2,1,Detchd,2007
139000,11616,Sawyer,1Fam,5,5,1962,Y,1092,1,3,1,Attchd,2009
155000,8536,Edwards,1Fam,5,5,2006,Y,1125,1,2,0,Attchd,2007
320000,12376,SawyerW,1Fam,7,5,1990,Y,3222,3,5,2,Attchd,2010
163990,8461,CollgCr,1Fam,6,5,2005,Y,1456,2,3,1,Attchd,2006
180000,21453,ClearCr,1Fam,6,5,1969,Y,988,1,1,2,Attchd,2006
100000,6060,IDOTRR,1Fam,4,5,1939,Y,1123,1,3,0,Detchd,2007
136000,9464,NAmes,1Fam,6,7,1958,Y,1080,1,3,0,Attchd,2008
153900,7892,SawyerW,TwnhsE,6,5,1993,Y,1199,2,2,0,Attchd,2008
181000,17043,NWAmes,1Fam,6,5,1979,Y,1586,2,3,1,Attchd,2009
84500,6780,IDOTRR,2fmCon,6,8,1935,N,754,1,2,0,,2006
128000,4928,NPkVill,TwnhsE,6,5,1976,Y,958,2,2,1,Attchd,2007
87000,4388,OldTown,1Fam,5,7,1930,Y,840,1,3,1,,2007
155000,7590,NAmes,1Fam,6,5,1966,Y,1348,1,3,1,Attchd,2006
150000,8973,NAmes,1Fam,5,7,1958,Y,1053,1,3,0,2Types,2006
226000,14200,NAmes,1Fam,7,6,1966,Y,2157,2,4,2,Attchd,2006
244000,12224,Gilbert,1Fam,6,5,2000,Y,2054,2,3,1,BuiltIn,2009
150750,7388,NAmes,1Fam,5,6,1959,Y,1327,1,3,0,Detchd,2007
220000,6853,Timber,1Fam,8,5,2001,Y,1296,2,2,0,Attchd,2009
180000,10335,Sawyer,1Fam,5,6,1968,Y,1721,2,3,1,Attchd,2006
174000,10400,NWAmes,1Fam,7,6,1970,Y,1682,2,3,1,Attchd,2008
143000,10355,NAmes,1Fam,5,5,1967,Y,1214,2,3,1,Attchd,2007
171000,11070,Mitchel,Duplex,7,5,1988,Y,1959,3,5,0,2Types,2006
230000,9066,CollgCr,1Fam,8,5,1999,Y,1852,2,3,2,Attchd,2008
231500,15426,CollgCr,1Fam,6,5,1997,Y,1764,2,3,0,Attchd,2009
115000,10500,NAmes,1Fam,4,5,1971,Y,864,1,3,1,,2010
260000,11645,CollgCr,1Fam,7,5,2005,Y,1734,2,3,0,Attchd,2006
166000,8520,NAmes,1Fam,5,4,1952,Y,1385,2,4,0,Detchd,2010
204000,10335,CollgCr,1Fam,7,5,1999,Y,1501,2,3,0,Attchd,2009
125000,9100,Sawyer,Duplex,5,5,1963,Y,1728,2,6,0,Detchd,2006
130000,2522,Edwards,Twnhs,6,5,2004,Y,1709,2,3,0,Detchd,2006
105000,6120,BrkSide,1Fam,5,7,1931,Y,875,1,2,0,Detchd,2009
222500,9505,Gilbert,1Fam,7,5,2001,Y,2035,2,3,1,BuiltIn,2010
141000,7500,SawyerW,1Fam,7,5,2004,Y,1080,1,3,0,,2008
115000,6240,BrkSide,1Fam,5,4,1936,Y,1344,1,3,0,Detchd,2006
122000,10356,CollgCr,1Fam,5,6,1975,Y,969,1,3,0,Attchd,2007
372402,13891,NridgHt,1Fam,8,5,2007,Y,1710,2,2,1,Attchd,2008
190000,14803,NWAmes,1Fam,6,5,1971,Y,1993,2,4,1,Attchd,2006
235000,13500,ClearCr,1Fam,6,7,1960,Y,1252,1,1,1,Attchd,2008
125000,11340,OldTown,1Fam,6,5,1923,Y,1200,1,4,0,Detchd,2006
79000,9600,Edwards,1Fam,6,5,1924,N,1096,1,2,0,,2008
109500,7200,NAmes,1Fam,5,7,1950,Y,1040,1,2,0,Detchd,2006
269500,12003,Timber,1Fam,8,5,2009,Y,1968,2,4,1,BuiltIn,2010
254900,12552,Somerst,1Fam,7,5,2004,Y,1947,2,3,1,Attchd,2010
320000,19378,Gilbert,1Fam,7,5,2005,Y,2462,2,4,1,Attchd,2006
162500,11120,Veenker,1Fam,6,6,1984,Y,1232,2,3,0,Attchd,2008
412500,13688,NridgHt,1Fam,9,5,2003,Y,2668,2,3,2,BuiltIn,2008
220000,12182,NridgHt,1Fam,7,5,2005,Y,1541,2,3,1,Attchd,2010
103200,5500,OldTown,1Fam,4,6,1956,Y,882,1,1,0,,2007
152000,5400,OldTown,1Fam,6,7,1926,Y,1616,2,3,0,Detchd,2007
127500,10106,Edwards,2fmCon,5,7,1940,Y,1355,2,4,0,,2008
190000,10708,ClearCr,1Fam,5,5,1955,Y,1867,1,2,3,Attchd,2009
325624,10562,NridgHt,1Fam,8,5,2007,Y,2161,1,3,1,Attchd,2007
183500,8244,Gilbert,1Fam,7,5,2004,Y,1720,2,3,1,Attchd,2007
228000,16669,Timber,1Fam,8,6,1981,Y,1707,2,2,1,Attchd,2006
128500,12358,OldTown,1Fam,5,6,1941,Y,1382,1,2,0,Detchd,2007
215000,31770,NAmes,1Fam,6,5,1960,Y,1656,1,3,2,Attchd,2010
239000,5306,StoneBr,TwnhsE,7,7,1987,Y,1767,2,2,1,Attchd,2006
163000,10197,NAmes,1Fam,6,5,1961,Y,1362,1,3,1,Attchd,2008
184000,12416,Timber,1Fam,6,5,1986,Y,1651,2,3,1,Attchd,2008
243000,12615,Edwards,1Fam,6,7,1950,Y,2158,2,4,1,Attchd,2007
211000,10029,ClearCr,1Fam,6,5,1988,Y,2060,2,4,1,Attchd,2007
172500,13650,Sawyer,1Fam,5,5,1958,Y,1920,2,4,1,Attchd,2006
501837,17423,StoneBr,1Fam,9,5,2008,Y,2234,2,1,1,Attchd,2009
100000,8520,OldTown,1Fam,5,6,1923,Y,968,1,2,0,Detchd,2007
177000,2117,Somerst,Twnhs,6,5,2000,Y,1525,2,3,1,Detchd,2007
200100,7588,Crawfor,1Fam,7,6,1920,Y,1802,1,4,1,Detchd,2006
120000,9060,Edwards,1Fam,5,6,1957,Y,1340,1,3,1,Attchd,2007
200000,11426,OldTown,1Fam,7,5,2003,Y,2082,2,3,0,Detchd,2008
127000,7438,BrkSide,1Fam,5,8,1908,Y,1252,1,3,0,Attchd,2006
475000,22950,OldTown,1Fam,10,9,1892,Y,3608,2,4,2,Detchd,2006
173000,9947,Mitchel,1Fam,7,5,1990,Y,1217,2,3,0,Attchd,2009
135000,10410,OldTown,1Fam,5,7,1916,Y,1656,2,3,0,Detchd,2009
153337,7018,SawyerW,Duplex,5,5,1979,Y,1224,0,2,2,Detchd,2009
286000,4923,StoneBr,TwnhsE,8,5,2001,Y,1593,1,0,1,Attchd,2008
315000,10570,Crawfor,1Fam,8,8,1932,Y,2727,2,3,2,Detchd,2007
184000,7472,NAmes,1Fam,7,9,1972,Y,1479,1,4,0,Attchd,2007
192000,9017,CollgCr,1Fam,7,5,1999,Y,1431,2,3,0,Attchd,2009
130000,2522,Edwards,Twnhs,7,5,2004,Y,1709,2,3,0,Detchd,2006
127000,7180,CollgCr,1Fam,5,7,1972,Y,864,1,3,0,Detchd,2008
148500,2280,NPkVill,Twnhs,6,6,1976,Y,1456,2,3,1,Attchd,2009
311872,9416,Somerst,1Fam,7,5,2007,Y,1726,2,3,1,Attchd,2007
235000,25419,NAmes,1Fam,8,4,1918,Y,3112,2,4,1,Detchd,2006
104000,5520,OldTown,1Fam,6,6,1912,Y,2229,1,5,0,,2009
274900,9591,NridgHt,1Fam,8,5,2004,Y,1713,2,3,1,Attchd,2009
140000,8546,Edwards,1Fam,4,5,2003,Y,1121,2,2,0,Attchd,2010
171500,10125,Mitchel,1Fam,6,6,1977,Y,1279,2,3,2,Detchd,2008
112000,7000,OldTown,1Fam,6,6,1924,Y,1310,2,2,0,Attchd,2006
149000,4438,CollgCr,TwnhsE,6,5,2004,Y,848,1,1,1,Attchd,2008
110000,3500,OldTown,1Fam,5,7,1947,Y,1284,1,2,0,Detchd,2009
180500,11851,Gilbert,1Fam,7,5,1990,Y,1442,2,3,0,Attchd,2009
143900,13673,Sawyer,1Fam,5,5,1962,Y,1696,1,3,1,Attchd,2007
141000,12493,NAmes,1Fam,4,5,1960,Y,1100,1,3,1,Attchd,2008
277000,14364,SawyerW,1Fam,7,5,1988,Y,2062,2,3,1,Attchd,2007
145000,8250,NAmes,1Fam,6,7,1964,Y,1092,1,3,0,Attchd,2008
98000,5604,Edwards,1Fam,5,6,1925,N,864,1,2,0,,2008
186000,10420,Edwards,1Fam,6,5,2009,Y,1212,2,3,0,Attchd,2010
252678,8640,Somerst,1Fam,7,5,2009,Y,1852,2,3,1,Attchd,2009
156000,13568,CollgCr,1Fam,5,5,1995,Y,990,1,3,0,Attchd,2006
161750,10900,CollgCr,1Fam,6,7,1977,Y,1392,1,3,0,Attchd,2010
134450,10011,NAmes,1Fam,5,6,1957,Y,1236,1,2,1,Attchd,2006
210000,8450,CollgCr,1Fam,7,5,2004,Y,1436,2,3,0,Attchd,2008
107000,9906,OldTown,1Fam,4,4,1925,N,1328,1,3,0,Detchd,2006
311500,15660,Crawfor,1Fam,7,9,1939,Y,1954,1,3,2,Attchd,2008
167240,3010,Blmngtn,TwnhsE,7,5,2005,Y,1248,2,2,0,Attchd,2006
204900,8990,CollgCr,1Fam,7,5,2006,Y,1498,2,2,0,Attchd,2006
200000,8068,Gilbert,1Fam,6,5,2002,Y,2267,2,4,1,BuiltIn,2009
179900,11475,NWAmes,1Fam,6,6,1975,Y,1552,2,3,1,Attchd,2006
97000,10500,NAmes,1Fam,4,6,1971,Y,864,1,2,0,Detchd,2009
386250,13472,NridgHt,1Fam,10,5,2003,Y,2392,2,3,1,Attchd,2009
112000,1680,BrDale,Twnhs,5,5,1971,Y,1302,2,3,0,Detchd,2009
290000,9950,NoRidge,1Fam,7,5,1995,Y,2520,2,4,1,Attchd,2007
106000,1869,BrDale,Twnhs,6,6,1970,Y,987,1,2,0,Detchd,2008
125000,8521,Sawyer,1Fam,5,5,1967,Y,912,1,3,1,Detchd,2010
192500,3182,Blmngtn,TwnhsE,7,5,2005,Y,1555,2,2,1,Attchd,2009
148000,8760,NAmes,1Fam,6,6,1959,Y,1194,1,3,0,Attchd,2010
403000,15138,NoRidge,1Fam,8,5,1995,Y,2794,2,4,1,Attchd,2009
94500,1680,BrDale,Twnhs,6,5,1972,Y,987,1,2,1,Attchd,2006
128200,10650,CollgCr,1Fam,5,6,1976,Y,894,1,3,0,Attchd,2010
216500,7851,Gilbert,1Fam,6,5,2002,Y,1960,2,4,2,BuiltIn,2010
89500,1680,BrDale,TwnhsE,6,3,1971,Y,987,1,2,0,Detchd,2008
185500,8773,CollgCr,1Fam,7,5,2004,Y,1414,2,3,0,Attchd,2010
194500,9453,SawyerW,1Fam,7,7,1993,Y,1744,2,3,0,Attchd,2010
318000,12030,NridgHt,1Fam,8,5,2007,Y,1694,2,3,0,Attchd,2007
113000,8741,Edwards,1Fam,6,4,1945,Y,1487,1,3,1,Detchd,2010
262500,9000,Somerst,1Fam,8,5,2008,Y,1566,2,3,0,Attchd,2010
110500,3880,OldTown,1Fam,5,9,1945,Y,866,1,2,0,,2007
79000,5000,OldTown,1Fam,5,4,1900,N,1440,1,3,0,Attchd,2006
120000,10762,SawyerW,TwnhsE,6,6,1980,Y,1217,1,3,1,Attchd,2009
205000,8880,SawyerW,1Fam,7,5,1994,Y,2110,2,3,2,Attchd,2010
241500,10400,NWAmes,1Fam,7,5,1988,Y,1872,2,3,1,Attchd,2006
137000,9142,OldTown,2fmCon,6,8,1910,N,1928,2,4,0,Detchd,2006
140000,11310,NAmes,1Fam,6,5,1954,Y,1375,1,2,1,Attchd,2006
180000,11317,CollgCr,1Fam,7,5,2003,Y,1668,2,3,0,Attchd,2007
277000,159000,ClearCr,1Fam,6,7,1958,Y,2144,2,4,2,Attchd,2007
76500,5350,BrkSide,1Fam,3,2,1940,Y,1306,1,3,0,,2010
235000,4750,Crawfor,TwnhsE,8,5,2006,Y,1625,2,2,1,Attchd,2007
173000,8366,SawyerW,1Fam,6,5,2004,Y,1640,2,3,0,Attchd,2008
158000,9350,NAmes,1Fam,6,7,1964,Y,1302,2,3,0,Attchd,2007
145000,8400,NAmes,1Fam,5,6,1957,Y,1314,1,3,0,Attchd,2010
230000,8738,Gilbert,1Fam,7,5,1999,Y,2291,2,4,1,BuiltIn,2006
207500,8791,Somerst,1Fam,6,5,2003,Y,1728,2,3,0,Attchd,2008
220000,8814,CollgCr,1Fam,7,5,2006,Y,1604,2,3,1,Attchd,2009
231500,12435,CollgCr,1Fam,7,5,2001,Y,1792,2,3,1,Attchd,2008
97000,12702,OldTown,1Fam,5,5,1956,Y,882,1,2,0,Detchd,2008
176000,19296,NAmes,1Fam,6,5,1962,Y,1382,1,3,1,Attchd,2009
276000,9588,CollgCr,1Fam,8,5,2007,Y,2574,2,3,1,BuiltIn,2007
151000,8471,Sawyer,1Fam,6,7,1977,Y,1212,1,3,1,Attchd,2006
130000,5500,OldTown,1Fam,5,7,1929,Y,1316,1,3,0,Detchd,2010
73000,5232,OldTown,1Fam,5,5,1925,N,764,1,2,0,Detchd,2008
175500,12090,NWAmes,1Fam,6,6,1981,Y,1422,2,3,1,Attchd,2008
185000,11207,Gilbert,1Fam,6,5,1997,Y,1511,2,3,1,Attchd,2006
179500,8400,SWISU,1Fam,5,8,1939,Y,2192,2,4,1,Detchd,2008
120500,6900,IDOTRR,1Fam,5,6,1940,Y,778,1,2,1,Detchd,2008
148000,7917,Edwards,1Fam,6,7,1976,Y,1113,1,3,1,Attchd,2007
266000,10728,Somerst,1Fam,8,5,2006,Y,1939,2,3,1,Attchd,2006
241500,39104,ClearCr,1Fam,7,7,1954,Y,1363,1,2,2,Attchd,2008
290000,11764,NoRidge,1Fam,8,7,1999,Y,2270,2,4,1,Attchd,2010
139000,9600,NAmes,1Fam,6,6,1958,Y,1632,2,3,1,Attchd,2009
124500,8314,Mitchel,1Fam,5,7,1982,Y,816,1,2,0,Attchd,2007
205000,7264,BrkSide,1Fam,7,7,1925,N,1548,2,3,0,Detchd,2009
201000,9196,Mitchel,1Fam,7,5,2003,Y,1560,2,3,0,Attchd,2010
141000,19138,Gilbert,1Fam,4,5,1951,Y,864,1,2,0,Detchd,2010
415298,14450,NridgHt,1Fam,9,5,2006,Y,2121,2,3,1,Attchd,2007
192000,10005,ClearCr,1Fam,7,5,1977,Y,2022,2,4,1,Attchd,2008
228500,11287,SawyerW,1Fam,7,6,1989,Y,1982,2,3,1,Attchd,2007
185000,7200,Somerst,1Fam,6,5,2006,Y,1262,2,2,0,Attchd,2006
207500,5063,NridgHt,Twnhs,7,5,2007,Y,1314,2,2,1,Attchd,2009
244600,9612,Somerst,1Fam,8,5,2008,Y,1468,2,3,1,Attchd,2009
179200,8012,SawyerW,TwnhsE,6,5,1992,Y,1575,2,2,0,Attchd,2007
164700,4251,Somerst,TwnhsE,7,5,2006,Y,1250,2,2,0,Detchd,2007
159000,9786,NAmes,1Fam,6,7,1962,Y,1734,1,3,1,Attchd,2006
88000,8125,NAmes,1Fam,4,4,1971,Y,858,1,3,0,,2006
122000,9819,Sawyer,1Fam,5,5,1967,Y,900,1,3,0,Detchd,2010
153575,8730,BrkSide,1Fam,6,7,1915,Y,1396,1,3,0,Detchd,2007
233230,15611,CollgCr,1Fam,8,5,2006,Y,1919,2,3,1,Attchd,2006
135900,5687,SWISU,2fmCon,5,6,1912,N,1716,2,6,0,,2008
131000,11409,Edwards,1Fam,5,4,1949,Y,1716,1,3,1,Attchd,2009
235000,16659,NWAmes,1Fam,7,7,1977,Y,2263,2,3,1,Attchd,2006
167000,9600,NAmes,1Fam,6,5,1953,Y,1644,1,3,2,Attchd,2009
142500,7937,Mitchel,1Fam,6,6,1984,Y,1003,1,3,0,Detchd,2006
152000,13710,IDOTRR,1Fam,5,5,1950,Y,1558,1,4,0,Attchd,2007
239000,7399,Somerst,1Fam,7,5,1997,Y,1950,2,3,1,Detchd,2007
175000,11700,NWAmes,1Fam,6,6,1968,Y,1743,1,3,1,Attchd,2007
158500,14000,Crawfor,1Fam,6,8,1950,Y,1152,1,3,1,Attchd,2009
157000,15750,Crawfor,2fmCon,5,5,1953,Y,1336,1,2,2,Attchd,2006
267000,16226,CollgCr,1Fam,8,5,1998,Y,2452,2,4,1,BuiltIn,2007
205000,13704,CollgCr,1Fam,7,5,2001,Y,1541,2,3,1,Attchd,2006
149900,9800,CollgCr,1Fam,5,7,1972,Y,894,1,3,0,Attchd,2006
295000,18386,OldTown,1Fam,7,9,1880,Y,3493,3,3,1,Attchd,2008
305900,10386,CollgCr,1Fam,8,5,2004,Y,2000,2,3,0,Attchd,2007
225000,13474,SawyerW,1Fam,7,5,1990,Y,2243,2,4,1,Attchd,2007
89500,7920,IDOTRR,1Fam,6,7,1920,Y,1406,1,3,0,,2008
82500,12342,Edwards,1Fam,4,5,1940,Y,861,1,1,0,Detchd,2009
360000,12378,NridgHt,1Fam,9,5,2003,Y,1944,2,3,3,Attchd,2006
165600,7685,Gilbert,1Fam,6,5,1993,Y,1501,2,3,1,Attchd,2006
132000,8000,NAmes,1Fam,6,6,1948,Y,972,1,2,1,Detchd,2009
119900,7800,OldTown,2fmCon,5,7,1939,Y,1118,1,3,1,Detchd,2006
375000,215245,Timber,1Fam,7,5,1965,Y,2036,2,3,2,Attchd,2009
178000,9600,OldTown,1Fam,7,7,1925,Y,1641,1,3,1,Detchd,2006
188500,7795,Gilbert,1Fam,7,5,2004,Y,1432,2,3,1,Attchd,2009
260000,13005,NWAmes,1Fam,7,7,1980,Y,2353,2,4,1,Attchd,2009
270000,9000,Somerst,1Fam,8,5,2006,Y,1959,2,3,1,Attchd,2007
